RefId,IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
24,0,12/21/2009,ADESA,2006,3,CHEVROLET,HHR,LS,4D SUV 2.2L LS,GREY,AUTO,2.0,Covers,59789,AMERICAN,MEDIUM,GM,5693.0,6842.0,9586.0,11299.0,6062.0,7214.0,9721.0,11606.0,,,5546,33619,FL,7700.0,0,671
25,0,12/21/2009,ADESA,2007,2,CHEVROLET,HHR,LS,4D SUV 2.2L LS,GREY,AUTO,2.0,Covers,65663,AMERICAN,MEDIUM,GM,5830.0,6923.0,9644.0,10838.0,7038.0,7945.0,11189.0,11803.0,,,5546,33619,FL,7000.0,0,728
26,1,12/21/2009,ADESA,2004,5,MERCURY,SABLE,LS,4D SEDAN LS PREMIUM,WHITE,AUTO,1.0,Alloy,52106,AMERICAN,MEDIUM,FORD,2619.0,3561.0,6502.0,7274.0,3160.0,4376.0,6600.0,8074.0,,,5546,33619,FL,4500.0,0,754
27,0,12/21/2009,ADESA,2002,7,GMC,ENVOY XL 4WD 6C,SLE,4D UTILITY 4.2L SLE,GOLD,AUTO,1.0,Alloy,88958,AMERICAN,MEDIUM SUV,GM,5367.0,6517.0,9005.0,10050.0,5510.0,6838.0,8522.0,10252.0,,,5546,33619,FL,8000.0,0,2452
28,0,12/21/2009,ADESA,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,WHITE,AUTO,1.0,Alloy,76173,AMERICAN,LARGE TRUCK,CHRYSLER,6407.0,8051.0,10378.0,12443.0,7159.0,8934.0,11135.0,12560.0,,,19638,33619,FL,8800.0,0,920
29,0,12/28/2009,ADESA,2004,5,DODGE,DURANGO 4WD V8,SLT,4D SUV 5.7L SLT,RED,AUTO,1.0,Alloy,65393,AMERICAN,MEDIUM SUV,CHRYSLER,7243.0,8582.0,11805.0,13250.0,7863.0,10109.0,12295.0,15807.0,,,19638,33619,FL,8400.0,0,1411
30,0,12/28/2009,ADESA,2005,4,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L SXT,GREY,AUTO,1.0,Alloy,80064,AMERICAN,VAN,CHRYSLER,5439.0,7255.0,9587.0,11288.0,6175.0,7792.0,9768.0,11489.0,,,19638,33619,FL,5600.0,0,1763
31,0,12/28/2009,ADESA,2003,6,CHEVROLET,SUBURBAN 1500 2WD,150,4D UTILITY 5.3L FFV LS,GOLD,AUTO,1.0,Alloy,77694,AMERICAN,LARGE SUV,GM,7220.0,8598.0,11181.0,12310.0,6910.0,8441.0,10739.0,12152.0,,,19638,33619,FL,8300.0,0,1923
32,1,12/28/2009,ADESA,2002,7,FORD,EXPLORER 2WD V6,Spo,2D SUV 4.0L SPORT,BLUE,AUTO,1.0,Alloy,56300,AMERICAN,MEDIUM SUV,FORD,2989.0,3939.0,5731.0,6751.0,3062.0,4156.0,5622.0,6773.0,,,19638,33619,FL,4900.0,0,1220
33,0,12/28/2009,ADESA,2006,3,CHRYSLER,300,Bas,4D SEDAN,BLACK,AUTO,2.0,Covers,78241,AMERICAN,SPECIALTY,CHRYSLER,8864.0,10403.0,13575.0,14872.0,8817.0,10367.0,12726.0,14374.0,,,19638,33619,FL,9500.0,0,1389
34,0,12/28/2009,ADESA,2004,5,FORD,MUSTANG V6,Bas,2D COUPE,BLACK,MANUAL,1.0,Alloy,57723,AMERICAN,SPORTS,FORD,4335.0,5331.0,8448.0,10389.0,5960.0,7040.0,8576.0,9924.0,,,19638,33619,FL,7000.0,0,671
36,1,12/28/2009,ADESA,2001,8,FORD,WINDSTAR FWD V6,LX,PASSENGER 3.8L LX,GOLD,AUTO,1.0,Alloy,82944,AMERICAN,VAN,FORD,1805.0,2423.0,4318.0,5562.0,1840.0,2640.0,4407.0,5530.0,,,19638,33619,FL,3600.0,0,2322
37,0,12/28/2009,ADESA,2005,4,FORD,FREESTAR FWD V6,SE,PASSENGER 3.9L LX,GOLD,AUTO,2.0,Covers,76304,AMERICAN,VAN,FORD,4649.0,5156.0,8487.0,8989.0,5099.0,6341.0,8086.0,9738.0,,,19638,33619,FL,6100.0,0,1506
38,0,12/28/2009,ADESA,2003,6,HYUNDAI,SONATA V6,GLS,4D SEDAN,GOLD,AUTO,1.0,Alloy,55711,OTHER ASIAN,MEDIUM,OTHER,2742.0,3724.0,5794.0,6788.0,2719.0,3894.0,5549.0,6795.0,,,19638,33619,FL,5100.0,0,971
39,0,1/4/2010,ADESA,2005,5,CHRYSLER,300,Bas,4D SEDAN,SILVER,AUTO,2.0,Covers,76586,AMERICAN,SPECIALTY,CHRYSLER,7482.0,8662.0,11915.0,13794.0,8528.0,9943.0,12386.0,14079.0,,,19638,33619,FL,8200.0,0,1389
40,1,1/4/2010,ADESA,2005,5,FORD,MUSTANG V6,Bas,2D COUPE,GOLD,AUTO,,,65078,AMERICAN,SPORTS,FORD,7669.0,8897.0,11047.0,13224.0,7669.0,8897.0,11047.0,13224.0,,,19638,33619,FL,8500.0,0,728
42,1,1/4/2010,ADESA,2005,5,NISSAN,SENTRA,Bas,4D SEDAN 1.8,SILVER,AUTO,,,86889,TOP LINE ASIAN,COMPACT,OTHER,4522.0,5544.0,8115.0,9156.0,4522.0,5544.0,8115.0,9156.0,,,19638,33619,FL,5200.0,0,594
43,0,1/11/2010,ADESA,2004,6,CHRYSLER,PACIFICA FWD,,4D SPORT TOURER,SILVER,AUTO,1.0,Alloy,68990,AMERICAN,CROSSOVER,CHRYSLER,6109.0,7449.0,9669.0,11713.0,6695.0,8221.0,9519.0,11325.0,,,19619,33619,FL,8500.0,0,1215
44,0,1/11/2010,ADESA,2008,2,CHEVROLET,IMPALA V6,LS,4D SEDAN LS 3.5L FFV,GREY,AUTO,2.0,Covers,80949,AMERICAN,LARGE,GM,7868.0,9037.0,11742.0,13276.0,9017.0,10256.0,12810.0,14181.0,,,19619,33619,FL,7900.0,0,2152
45,0,1/11/2010,ADESA,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 5.7L,BLUE,AUTO,1.0,Alloy,52774,AMERICAN,LARGE TRUCK,CHRYSLER,6451.0,8015.0,10954.0,12342.0,7871.0,9234.0,11975.0,13004.0,,,19619,33619,FL,11335.0,0,754
46,1,1/11/2010,ADESA,2004,6,NISSAN,XTERRA 2WD V6,SE,4D SPORT UTILITY,BLUE,AUTO,,,72191,TOP LINE ASIAN,MEDIUM SUV,OTHER,7033.0,8356.0,10916.0,12432.0,7033.0,8356.0,10916.0,12432.0,,,19619,33619,FL,7100.0,0,569
48,1,1/11/2010,ADESA,2002,8,TOYOTA,COROLLA,CE,4D SEDAN CE,SILVER,AUTO,,,79576,TOP LINE ASIAN,COMPACT,OTHER,2492.0,3290.0,5516.0,7088.0,2492.0,3290.0,5516.0,7088.0,,,19619,33619,FL,3900.0,0,869
50,1,1/11/2010,ADESA,2006,4,PONTIAC,G6 V6,GT,4D SEDAN GT,RED,AUTO,,,50227,AMERICAN,MEDIUM,GM,6630.0,7933.0,10660.0,12253.0,6630.0,7933.0,10660.0,12253.0,,,19619,33619,FL,7500.0,0,1003
51,0,1/11/2010,ADESA,2003,7,DODGE,1500 RAM PICKUP 2WD,Lar,QUAD CAB 4.7L,BEIGE,AUTO,1.0,Alloy,82146,AMERICAN,LARGE TRUCK,CHRYSLER,6529.0,8087.0,11855.0,15842.0,6283.0,7591.0,9811.0,11189.0,,,5546,33619,FL,9400.0,0,1283
52,0,1/18/2010,ADESA,2006,4,SATURN,ION,2,4D SEDAN LEVEL 2,GREY,MANUAL,2.0,Covers,58024,AMERICAN,MEDIUM,GM,4918.0,6168.0,8421.0,9638.0,5112.0,6101.0,8097.0,9389.0,,,20928,33619,FL,5600.0,0,671
53,0,1/18/2010,ADESA,2006,4,CHEVROLET,HHR,LS,4D SUV 2.2L LS,GOLD,AUTO,2.0,Covers,40919,AMERICAN,MEDIUM,GM,5456.0,6832.0,9488.0,11466.0,6189.0,7436.0,9696.0,11087.0,,,20928,33619,FL,7700.0,0,623
54,0,1/18/2010,ADESA,2005,5,DODGE,NEON,SE,4D SEDAN,SILVER,AUTO,2.0,Covers,87643,AMERICAN,COMPACT,CHRYSLER,2755.0,3566.0,6142.0,7154.0,3799.0,4833.0,6792.0,8018.0,,,19638,33619,FL,4600.0,0,723
55,0,1/18/2010,ADESA,2005,5,FORD,FOCUS,ZX3,2D COUPE ZX3,WHITE,MANUAL,2.0,Covers,80968,AMERICAN,COMPACT,FORD,3224.0,4345.0,6716.0,7871.0,3800.0,4823.0,6687.0,7947.0,,,19638,33619,FL,4600.0,0,1243
56,0,1/18/2010,ADESA,2006,4,DODGE,DURANGO 2WD V8,SXT,4D SUV 4.7L,SILVER,AUTO,1.0,Alloy,50308,AMERICAN,MEDIUM SUV,CHRYSLER,8219.0,9414.0,12742.0,14018.0,8881.0,10454.0,13601.0,15016.0,,,20928,33619,FL,9635.0,0,1086
57,0,1/18/2010,ADESA,2007,3,FORD,FIVE HUNDRED,SEL,4D SEDAN SEL,BLACK,AUTO,1.0,Alloy,80795,AMERICAN,LARGE,FORD,8806.0,10982.0,12674.0,15188.0,9310.0,11131.0,12872.0,14881.0,,,19638,33619,FL,7700.0,0,1633
58,0,1/18/2010,ADESA,2006,4,DODGE,DURANGO 2WD V8,Adv,4D SUV 4.7L ADVENTURER,RED,AUTO,1.0,Alloy,62239,AMERICAN,MEDIUM SUV,CHRYSLER,10883.0,12166.0,15586.0,16956.0,10883.0,12166.0,15340.0,16512.0,,,20928,33619,FL,9135.0,0,1215
59,1,1/18/2010,ADESA,2004,6,CHRYSLER,PACIFICA FWD,,4D SPORT TOURER,GOLD,AUTO,1.0,Alloy,87008,AMERICAN,CROSSOVER,CHRYSLER,5925.0,7204.0,9121.0,10766.0,6372.0,7756.0,9650.0,10993.0,,,19638,33619,FL,6900.0,0,1503
60,0,1/18/2010,ADESA,2006,4,HYUNDAI,SONATA V6,GLS,4D SEDAN GLS,GOLD,AUTO,1.0,Alloy,64060,OTHER ASIAN,MEDIUM,OTHER,6299.0,7569.0,10379.0,11857.0,6745.0,8174.0,10313.0,11802.0,,,20928,33619,FL,7535.0,0,728
61,0,1/18/2010,ADESA,2002,8,HYUNDAI,SONATA V6,Bas,4D SEDAN,BLUE,AUTO,2.0,Covers,77677,OTHER ASIAN,MEDIUM,OTHER,2136.0,3158.0,4773.0,6048.0,2895.0,4139.0,5498.0,6648.0,,,19638,33619,FL,4200.0,0,1103
62,0,1/18/2010,ADESA,2003,7,FORD,MUSTANG V6,Bas,2D COUPE,GREY,AUTO,1.0,Alloy,58888,AMERICAN,SPORTS,FORD,4064.0,5082.0,7662.0,8873.0,4001.0,5106.0,7566.0,8676.0,,,20928,33619,FL,6300.0,0,971
63,0,1/18/2010,ADESA,2006,4,FORD,FUSION 4C,SE,4D SEDAN SE,BLUE,AUTO,2.0,Covers,63557,AMERICAN,MEDIUM,FORD,6961.0,8524.0,10753.0,12665.0,8193.0,9725.0,11724.0,13068.0,,,19638,33619,FL,7100.0,0,728
64,1,1/18/2010,ADESA,2003,7,TOYOTA,4 RUNNER 2WD V8,SR5,4D SPORT UTILITY SPORT EDITION,BEIGE,AUTO,1.0,Alloy,90026,TOP LINE ASIAN,MEDIUM SUV,OTHER,8811.0,10569.0,12602.0,15004.0,8234.0,9818.0,12146.0,13893.0,,,19638,33619,FL,7900.0,0,1209
65,0,1/18/2010,ADESA,2005,5,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L SXT,BLUE,AUTO,1.0,Alloy,89705,AMERICAN,VAN,CHRYSLER,5094.0,6628.0,9006.0,10811.0,6175.0,7792.0,9768.0,11489.0,,,19638,33619,FL,6100.0,0,1763
66,0,1/18/2010,ADESA,2004,6,DODGE,NEON,SXT,4D SEDAN,BLUE,AUTO,1.0,Alloy,64511,AMERICAN,COMPACT,CHRYSLER,2448.0,3259.0,5279.0,6228.0,2480.0,3280.0,5134.0,6144.0,,,19638,33619,FL,4100.0,0,630
67,1,1/18/2010,ADESA,2005,5,PONTIAC,GRAND PRIX,GXP,4D SEDAN GXP,PURPLE,AUTO,1.0,Alloy,75513,AMERICAN,LARGE,GM,10122.0,11913.0,13679.0,15574.0,9316.0,10419.0,13219.0,14612.0,,,20928,33619,FL,9100.0,0,1974
68,0,1/18/2010,ADESA,2006,4,CHRYSLER,SEBRING V6,Tou,4D SEDAN,BLACK,AUTO,1.0,Alloy,80608,AMERICAN,MEDIUM,CHRYSLER,4407.0,5646.0,8657.0,10097.0,4226.0,5421.0,8125.0,9403.0,,,19638,33619,FL,5800.0,0,1373
69,1,1/18/2010,ADESA,2001,9,FORD,FOCUS,ZX3,2D COUPE ZX3,BLACK,AUTO,1.0,Alloy,95558,AMERICAN,COMPACT,FORD,2006.0,2669.0,4031.0,4871.0,2371.0,3122.0,4957.0,5927.0,,,19638,33619,FL,3700.0,0,1641
70,0,1/25/2010,ADESA,2007,3,SUZUKI,FORENZA,,4D SEDAN,GOLD,AUTO,2.0,Covers,35796,OTHER ASIAN,MEDIUM,OTHER,5019.0,5870.0,8484.0,9263.0,5451.0,6336.0,8617.0,9919.0,,,5546,33619,FL,5900.0,0,462
71,0,1/25/2010,ADESA,2006,4,MAZDA,MAZDA5,,4D WAGON SPORT,WHITE,AUTO,1.0,Alloy,83501,OTHER ASIAN,CROSSOVER,OTHER,7841.0,9211.0,11179.0,12142.0,7860.0,9170.0,11305.0,12281.0,,,19619,33619,FL,7300.0,0,1113
72,0,1/25/2010,ADESA,2007,3,JEEP,LIBERTY 2WD V6,Spo,4D SUV,BLACK,AUTO,1.0,Alloy,70148,AMERICAN,SMALL SUV,CHRYSLER,9670.0,10949.0,14609.0,16541.0,10037.0,11627.0,14218.0,15701.0,,,19619,33619,FL,7300.0,0,686
73,0,1/25/2010,ADESA,2006,4,SATURN,ION,2,4D SEDAN LEVEL 2,GOLD,AUTO,2.0,Covers,76052,AMERICAN,MEDIUM,GM,5034.0,6206.0,8358.0,9604.0,5265.0,6275.0,8540.0,10178.0,,,19619,33619,FL,4900.0,0,803
74,0,1/25/2010,ADESA,2006,4,SUZUKI,FORENZA,,4D SEDAN,RED,AUTO,1.0,Alloy,72479,OTHER ASIAN,MEDIUM,OTHER,3620.0,4720.0,6484.0,8037.0,4439.0,5373.0,7460.0,9030.0,,,5546,33619,FL,4600.0,0,569
75,0,1/25/2010,ADESA,2005,5,FORD,TAURUS,SE,4D SEDAN SE,WHITE,AUTO,2.0,Covers,84542,AMERICAN,MEDIUM,FORD,3214.0,4157.0,6109.0,7379.0,3713.0,4578.0,6942.0,8242.0,,,5546,33619,FL,4500.0,0,983
77,1,1/25/2010,ADESA,2001,9,CHEVROLET,TAHOE 2WD,Bas,4D SUV 5.3L,WHITE,AUTO,1.0,Alloy,86483,AMERICAN,LARGE SUV,GM,5498.0,6393.0,8910.0,9822.0,6614.0,7649.0,9808.0,10913.0,,,19619,33619,FL,8300.0,0,2063
78,0,1/25/2010,ADESA,2006,4,CHEVROLET,COBALT,LS,4D SEDAN LS,SILVER,AUTO,2.0,Covers,43898,AMERICAN,COMPACT,GM,4465.0,5384.0,8391.0,9258.0,4836.0,5860.0,8549.0,9650.0,,,5546,33619,FL,5600.0,0,623
79,0,1/25/2010,ADESA,2006,4,JEEP,LIBERTY 2WD V6,Spo,4D SUV,RED,AUTO,1.0,Alloy,57338,AMERICAN,SMALL SUV,CHRYSLER,8597.0,10149.0,12331.0,13928.0,8931.0,10567.0,12439.0,13962.0,,,19619,33619,FL,7500.0,0,588
80,1,1/25/2010,ADESA,2003,7,FORD,EXPEDITION 2WD V8,XLT,4D SUV 4.6L XLT,SILVER,AUTO,,,59425,AMERICAN,LARGE SUV,FORD,6216.0,7470.0,9763.0,11452.0,6468.0,7813.0,10017.0,11930.0,,,19619,33619,FL,8700.0,0,1137
81,0,1/25/2010,ADESA,2005,5,DODGE,DURANGO 2WD V8,ST,4D SUV 4.7L ST,RED,AUTO,2.0,Covers,79957,AMERICAN,MEDIUM SUV,CHRYSLER,6242.0,8058.0,10261.0,12091.0,6698.0,7400.0,11325.0,11897.0,,,19619,33619,FL,7700.0,0,1389
82,0,1/25/2010,ADESA,2003,7,HONDA,ELEMENT 2WD,EX,4D SPORT UTILITY EX,BLUE,AUTO,1.0,Alloy,78559,TOP LINE ASIAN,SMALL SUV,OTHER,6412.0,7495.0,10072.0,11343.0,7166.0,8201.0,10148.0,11289.0,,,19619,33619,FL,8000.0,0,986
83,0,1/25/2010,ADESA,2007,3,CHEVROLET,HHR,LT,4D SUV 2.2L LT,ORANGE,AUTO,1.0,Alloy,48386,AMERICAN,MEDIUM,GM,7470.0,9106.0,11322.0,13321.0,8333.0,9667.0,12066.0,12969.0,,,19619,33619,FL,7200.0,0,623
84,0,1/25/2010,ADESA,2003,7,FORD,EXPEDITION 2WD V8,XLT,4D SUV 4.6L XLT,GOLD,AUTO,1.0,Alloy,80117,AMERICAN,LARGE SUV,FORD,6216.0,7470.0,9763.0,11452.0,7750.0,8899.0,11407.0,13098.0,,,5546,33619,FL,8100.0,0,1413
86,0,1/25/2010,ADESA,2005,5,SATURN,RELAY 2WD V6,,4D SPORT UTILITY,RED,AUTO,2.0,Covers,51145,AMERICAN,VAN,GM,5294.0,6470.0,9365.0,10934.0,5706.0,7303.0,9981.0,12208.0,,,19619,33619,FL,7500.0,0,1583
88,0,1/25/2010,ADESA,2005,5,FORD,FREESTYLE 2WD V6,SEL,4D CUV 3.0L SEL,GOLD,AUTO,1.0,Alloy,55909,AMERICAN,CROSSOVER,FORD,7350.0,8513.0,12016.0,13918.0,8320.0,9344.0,12490.0,13398.0,,,5546,33619,FL,8500.0,0,1169
89,0,2/1/2010,ADESA,2005,5,FORD,F150 PICKUP 2WD V8,Lar,CREW CAB 5.4L KING RANCH,GREY,AUTO,1.0,Alloy,86702,AMERICAN,LARGE TRUCK,FORD,12004.0,15664.0,17400.0,21702.0,11520.0,14974.0,16133.0,19975.0,,,19638,33619,FL,10100.0,0,853
91,0,2/1/2010,ADESA,2004,6,NISSAN,ALTIMA,Bas,4D SEDAN,GREEN,AUTO,2.0,Covers,65379,TOP LINE ASIAN,MEDIUM,OTHER,4704.0,5612.0,7671.0,8988.0,5747.0,6830.0,9091.0,10242.0,,,19638,33619,FL,7700.0,0,630
92,0,2/1/2010,ADESA,2004,6,CHEVROLET,TRAILBLAZER EXT 2WD,LT,4D SUV 4.2L LS,RED,AUTO,1.0,Alloy,74954,AMERICAN,MEDIUM SUV,GM,6115.0,7807.0,10007.0,11980.0,6860.0,8150.0,10219.0,11276.0,,,19638,33619,FL,8900.0,0,1155
93,0,2/1/2010,ADESA,2002,8,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L LS,GOLD,AUTO,1.0,Alloy,49328,AMERICAN,MEDIUM SUV,GM,4081.0,5039.0,7246.0,8315.0,5204.0,6130.0,8011.0,8587.0,,,19638,33619,FL,7400.0,0,1134
95,0,2/1/2010,ADESA,2007,3,CHRYSLER,PT CRUISER,Bas,4D SEDAN,BLUE,AUTO,2.0,Covers,43412,AMERICAN,MEDIUM,CHRYSLER,5628.0,6695.0,9226.0,10349.0,6303.0,7254.0,9456.0,10497.0,,,19638,33619,FL,5800.0,0,975
96,0,2/1/2010,ADESA,2004,6,CHEVROLET,TRACKER 2WD V6,LT,4D SUV HARDTOP 2.5L LT,WHITE,AUTO,1.0,Alloy,78412,AMERICAN,SMALL SUV,GM,4220.0,4497.0,7415.0,7637.0,4133.0,4626.0,7374.0,7790.0,,,19638,33619,FL,5100.0,0,1155
97,0,2/1/2010,ADESA,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 5.7L,PURPLE,AUTO,1.0,Alloy,74026,AMERICAN,LARGE TRUCK,CHRYSLER,6964.0,8498.0,10836.0,12389.0,8132.0,9370.0,11798.0,13307.0,,,19638,33619,FL,10200.0,0,920
98,1,2/8/2010,ADESA,2002,8,FORD,MUSTANG V6,Bas,2D COUPE,WHITE,AUTO,1.0,Alloy,64822,AMERICAN,SPORTS,FORD,3442.0,4419.0,6382.0,7874.0,4347.0,5324.0,7185.0,8419.0,,,5546,33619,FL,6100.0,0,1028
99,0,2/8/2010,ADESA,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,PURPLE,AUTO,1.0,Alloy,80491,AMERICAN,LARGE TRUCK,CHRYSLER,6601.0,8123.0,10917.0,12227.0,7456.0,9222.0,11374.0,12791.0,,,5546,33619,FL,9400.0,0,983
